Testcase 1
0.85    0.85    误差：-6.66134e-13%
0.855   0.855   误差：-6.49253e-13%
0.86    0.86    误差：-6.19659e-13%
0.865   0.865   误差：-5.90408e-13%
0.87    0.87    误差：-5.74253e-13%
0.875   0.875   误差：-5.45595e-13%
0.88    0.88    误差：-5.17263e-13%
0.885   0.885   误差：-5.01796e-13%
0.89    0.89    误差：-4.74028e-13%
0.895   0.895   误差：-4.4657e-13%
0.9     0.9     误差：-4.31753e-13%
0.905   0.905   误差：-4.04833e-13%
0.91    0.91    误差：-3.66008e-13%
0.915   0.915   误差：-3.64008e-13%
0.92    0.92    误差：-3.25826e-13%
0.925   0.925   误差：-3.12063e-13%
0.93    0.93    误差：-2.74571e-13%
0.935   0.935   误差：-2.73103e-13%
0.94    0.94    误差：-2.36218e-13%
0.945   0.945   误差：-2.23219e-13%
0.95    0.95    误差：-1.98671e-13%
0.955   0.955   误差：-1.86006e-13%
0.96    0.96    误差：-1.50343e-13%
0.965   0.965   误差：-1.49564e-13%
0.97    0.97    误差：-1.14456e-13%
0.975   0.975   误差：-9.10952e-14%
0.98    0.98    误差：-7.93016e-14%
0.985   0.985   误差：-5.63565e-14%
0.99    0.99    误差：-3.36431e-14%
0.995   0.995   误差：-2.2316e-14%
--------------------------------
0.50005 0.505   误差：-0.980296%
0.509951        0.51    误差：-0.00961075%
0.515   0.515   误差：-9.42321e-05%
0.52    0.52    误差：-9.24022e-07%
0.525   0.525   误差：-9.06433e-09%
0.53    0.53    误差：-9.15829e-11%
0.535   0.535   误差：-3.54856e-12%
0.54    0.54    误差：-2.6522e-12%
0.545   0.545   误差：-2.6075e-12%
0.55    0.55    误差：-2.56361e-12%
0.555   0.555   误差：-2.52051e-12%
0.56    0.56    误差：-2.47818e-12%
0.565   0.565   误差：-2.41695e-12%
0.57    0.57    误差：-2.39574e-12%
0.575   0.575   误差：-2.3363e-12%
0.58    0.58    误差：-2.29701e-12%
0.585   0.585   误差：-2.2584e-12%
0.59    0.59    误差：-2.22045e-12%
0.595   0.595   误差：-2.18313e-12%
0.6     0.6     误差：-2.14643e-12%
0.605   0.605   误差：-2.11034e-12%
0.61    0.61    误差：-2.07484e-12%
0.615   0.615   误差：-2.03992e-12%
0.62    0.62    误差：-2.00556e-12%
0.625   0.625   误差：-1.97176e-12%
0.63    0.63    误差：-1.93848e-12%
0.635   0.635   误差：-1.90574e-12%
0.64    0.64    误差：-1.8735e-12%
0.645   0.645   误差：-1.84177e-12%
0.65    0.65    误差：-1.81052e-12%
0.655   0.655   误差：-1.77975e-12%
0.66    0.66    误差：-1.74944e-12%
0.665   0.665   误差：-1.71959e-12%
0.67    0.67    误差：-1.69019e-12%
0.675   0.675   误差：-1.66122e-12%
0.68    0.68    误差：-1.61635e-12%
0.685   0.685   误差：-1.58835e-12%
0.69    0.69    误差：-1.54466e-12%
0.695   0.695   误差：-1.53355e-12%
0.7     0.7     误差：-1.49087e-12%
0.705   0.705   误差：-1.46455e-12%
0.71    0.71    误差：-1.4386e-12%
0.715   0.715   误差：-1.39748e-12%
0.72    0.72    误差：-1.37236e-12%
0.725   0.725   误差：-1.34758e-12%
0.73    0.73    误差：-1.32314e-12%
0.735   0.735   误差：-1.29904e-12%
0.74    0.74    误差：-1.27526e-12%
0.745   0.745   误差：-1.2518e-12%
0.75    0.75    误差：-1.21384e-12%
0.755   0.755   误差：-1.1911e-12%
0.76    0.76    误差：-1.16866e-12%
0.765   0.765   误差：-1.1465e-12%
0.77    0.77    误差：-1.12464e-12%
0.775   0.775   误差：-1.10306e-12%
0.78    0.78    误差：-1.08176e-12%
0.785   0.785   误差：-1.03244e-12%
0.79    0.79    误差：-1.01185e-12%
0.795   0.795   误差：-9.77555e-13%
0.8     0.8     误差：-9.57567e-13%
0.805   0.805   误差：-9.10245e-13%
0.81    0.81    误差：-9.04626e-13%
0.815   0.815   误差：-8.58209e-13%
0.82    0.82    误差：-8.39437e-13%
0.825   0.825   误差：-8.07435e-13%
0.83    0.83    误差：-7.89195e-13%
0.835   0.835   误差：-7.44581e-13%
0.84    0.84    误差：-7.40149e-13%
0.845   0.845   误差：-6.96353e-13%
0.85    0.85    误差：-6.66134e-13%
0.855   0.855   误差：-6.49253e-13%
0.86    0.86    误差：-6.19659e-13%
0.865   0.865   误差：-5.90408e-13%
0.87    0.87    误差：-5.74253e-13%
0.875   0.875   误差：-5.45595e-13%
0.88    0.88    误差：-5.17263e-13%
0.885   0.885   误差：-5.01796e-13%
0.89    0.89    误差：-4.74028e-13%
0.895   0.895   误差：-4.4657e-13%
0.9     0.9     误差：-4.31753e-13%
0.905   0.905   误差：-4.04833e-13%
0.91    0.91    误差：-3.66008e-13%
0.915   0.915   误差：-3.64008e-13%
0.92    0.92    误差：-3.25826e-13%
0.925   0.925   误差：-3.12063e-13%
0.93    0.93    误差：-2.74571e-13%
0.935   0.935   误差：-2.73103e-13%
0.94    0.94    误差：-2.36218e-13%
0.945   0.945   误差：-2.23219e-13%
0.95    0.95    误差：-1.98671e-13%
0.955   0.955   误差：-1.86006e-13%
0.96    0.96    误差：-1.50343e-13%
0.965   0.965   误差：-1.49564e-13%
0.97    0.97    误差：-1.14456e-13%
0.975   0.975   误差：-9.10952e-14%
0.98    0.98    误差：-7.93016e-14%
0.985   0.985   误差：-5.63565e-14%
0.99    0.99    误差：-3.36431e-14%
0.995   0.995   误差：-2.2316e-14%
